cl_dbc_tarief_agb_code|cl_productgroep_code|cl_declaratiecode|cl_declaratiecode_kleur|cl_dbc_tarief_basis|cl_dbc_tarief_max|cl_dbc_nhc_tarief|cl_dbc_tarief_begindatum|cl_dbc_tarief_einddatum|cl_dbc_tarief_mutatie
0329|143014|100169|groen|7404300|0|0|20100101|20101231|
0329|143014|100169|groen|7531361|0|0|20110101|20111231|
0329|143015|100170|groen|7606000|0|0|20090101|20091231|
0329|143015|100170|groen|7427400|0|0|20100101|20101231|
0329|143015|100170|groen|7554857|0|0|20110101|20111231|
0329|143016|100171|groen|7649600|0|0|20090101|20091231|
0329|143016|100171|groen|7470100|0|0|20100101|20101231|
0329|143016|100171|groen|7598290|0|0|20110101|20111231|
0329|143017|100172|groen|7757200|0|0|20090101|20091231|
0329|143018|100173|groen|7567900|0|0|20090101|20091231|
0329|143018|100173|groen|7390200|0|0|20100101|20101231|
0329|143018|100173|groen|7517019|0|0|20110101|20111231|
0329|143019|100174|groen|7571400|0|0|20090101|20091231|
0329|143019|100174|groen|7393700|0|0|20100101|20101231|
0329|143019|100174|groen|7520579|0|0|20110101|20111231|
0329|143020|100175|groen|7584600|0|0|20090101|20091231|
0329|143020|100175|groen|7406600|0|0|20100101|20101231|
0329|143020|100175|groen|7533700|0|0|20110101|20111231|
0329|143021|100176|groen|7591300|0|0|20090101|20091231|
0329|143021|100176|groen|7413100|0|0|20100101|20101231|
0329|143021|100176|groen|7540312|0|0|20110101|20111231|
0329|143022|100177|groen|7607100|0|0|20090101|20091231|
0329|143022|100177|groen|7428500|0|0|20100101|20101231|
0329|143022|100177|groen|7555976|0|0|20110101|20111231|
0329|143023|100178|groen|7617800|0|0|20090101|20091231|
0329|143023|100178|groen|7439000|0|0|20100101|20101231|
0329|143023|100178|groen|7566656|0|0|20110101|20111231|
0329|143024|100179|groen|7641600|0|0|20090101|20091231|
0329|143024|100179|groen|7462200|0|0|20100101|20101231|
0329|143024|100179|groen|7590254|0|0|20110101|20111231|
0329|143025|100180|groen|7651400|0|0|20090101|20091231|
0329|143025|100180|groen|7471800|0|0|20100101|20101231|
0329|143025|100180|groen|7600019|0|0|20110101|20111231|
0329|143026|100181|groen|7721900|0|0|20090101|20091231|
0329|143027|100182|groen|7661100|0|0|20090101|20091231|
0329|143027|100182|groen|7481300|0|0|20100101|20101231|
0329|143027|100182|groen|7609682|0|0|20110101|20111231|
0329|143028|100183|groen|7756200|0|0|20090101|20091231|
0329|143029|100184|groen|7785200|0|0|20090101|20091231|
0329|143030|100185|groen|7952900|0|0|20090101|20091231|
0329|143030|100185|groen|7766300|0|0|20100101|20101231|
0329|143030|100185|groen|7899573|0|0|20110101|20111231|
0329|143031|100186|groen|8291900|0|0|20090101|20091231|
0329|143031|100186|groen|8097300|0|0|20100101|20101231|
0329|143031|100186|groen|8236253|0|0|20110101|20111231|
0329|143033|100187|groen|7662500|0|0|20090101|20091231|
0329|143033|100187|groen|7482600|0|0|20100101|20101231|
0329|143033|100187|groen|7611004|0|0|20110101|20111231|
